VIN,USER,LATITUDE,LONGITUDE,MODEL,DATE,TIRE01,TIRE02,TIRE03,TIRE04,TMAX,TMIN
V34814AC54A000001,"ANDREA GIRARDI, TO IT",246.8645,-9.8195,3481,2018-01-03,1,1.55,2.06,3.96,13,-5
V33064AC54A000005,"GUIDO ROSSATTO, PA FR",248.1968,76.773,3306,2018-01-16,3.09,3.1,1.12,1.97,17,7
V33064AC54A000005,"GUIDO ROSSATTO, PA FR",227.9226,100.3192,3306,2018-01-01,3.71,3.8,4.82,4.08,12,7
V15074AC54A000002,"GIACINTO CAMPANALE, MO IT",325.5645,331.3857,1507,2018-02-02,2.76,0.96,2.07,1.75,20,6
V33434AC54A000004,"FRANCESCO RUA, LO UK",31.8818,165.8039,3343,2018-02-01,2.64,3.24,0.23,4.86,17,1
V31934AC54A000006,"DARIO CERESER, PA IT",16.5197,168.7531,3193,2018-01-28,2.68,2.54,1.33,1.66,15,-1
V34814AC54A000001,"ANDREA GIRARDI, TO IT",171.3734,80.2014,3481,2018-01-02,2.8,4.52,1.64,4.91,21,-5
V35704AC54A000003,"MARIANO FIORENTINO, MI IT",41.6985,44.9897,3570,2018-01-13,3.68,2.49,3.35,2.92,20,2
V15074AC54A000002,"GIACINTO CAMPANALE, MO IT",-13,180.8371,1507,2018-02-03,1.93,1.1,3.43,1.08,14,3
V33064AC54A000005,"GUIDO ROSSATTO, PA FR",63.7298,167.5498,3306,2018-01-15,0.19,2.08,1.09,0.14,21,-1
V33434AC54A000004,"FRANCESCO RUA, LO UK",191.8244,270.7155,3343,2018-01-11,2.98,0.73,1.43,4.07,12,1
V15074AC54A000002,"GIACINTO CAMPANALE, MO IT",217.1149,263.1633,1507,2018-01-27,0.72,3.33,3.97,1.45,17,-3
V33064AC54A000005,"GUIDO ROSSATTO, PA FR",11.6388,-2.5286,3306,2018-01-25,0.54,1.26,1.43,0.9,12,3
V34814AC54A000001,"ANDREA GIRARDI, TO IT",203.8874,72.8032,3481,2018-01-26,3.41,4.72,4.94,1.61,27,2
V33064AC54A000005,"GUIDO ROSSATTO, PA FR",261.0164,49.353,3306,2018-01-22,3.87,4.38,3.18,2.08,12,8
V15074AC54A000002,"GIACINTO CAMPANALE, MO IT",95.0552,33.6835,1507,2018-01-24,4.52,1.08,4.61,1,24,5
V35704AC54A000003,"MARIANO FIORENTINO, MI IT",295.143,28.235,3570,2018-01-31,3.82,4.8,2.5,0.44,11,0
V33064AC54A000005,"GUIDO ROSSATTO, PA FR",137.8235,168.2888,3306,2018-02-02,2.04,0.15,4.49,2.85,22,9
V31934AC54A000006,"DARIO CERESER, PA IT",177.4313,19.6646,3193,2018-01-08,1.33,2.35,3.94,4.76,18,5
V33434AC54A000004,"FRANCESCO RUA, LO UK",108.5985,240.4353,3343,2018-01-21,2.17,3.32,2.17,1.04,11,6
V34814AC54A000001,"ANDREA GIRARDI, TO IT",322.9152,279.9375,3481,2018-01-10,4.92,4.42,1.54,0.07,17,5
V15074AC54A000002,"GIACINTO CAMPANALE, MO IT",191.7731,278.3625,1507,2018-01-09,0.92,2.94,0.77,1.27,19,-5
V35704AC54A000003,"MARIANO FIORENTINO, MI IT",237.4256,300.2055,3570,2018-01-16,4.64,1.34,0.11,2.71,25,-3
V33064AC54A000005,"GUIDO ROSSATTO, PA FR",324.2935,204.8569,3306,2018-01-09,3.58,3.93,0.2,2.92,19,-4
V15074AC54A000002,"GIACINTO CAMPANALE, MO IT",132.5485,307.6157,1507,2018-01-12,0.09,2.27,4.63,2.08,23,1
V35704AC54A000003,"MARIANO FIORENTINO, MI IT",-13.9929,194.4062,3570,2018-01-30,4.38,1.91,2.75,4.06,12,1
V33064AC54A000005,"GUIDO ROSSATTO, PA FR",196.3628,-16.5197,3306,2018-01-19,4.95,3.81,0.11,2.11,19,4
V35704AC54A000003,"MARIANO FIORENTINO, MI IT",55.7918,137.3852,3570,2018-01-27,3.92,0.63,0.51,2.26,17,1
V31934AC54A000006,"DARIO CERESER, PA IT",219.9602,338.4787,3193,2018-01-06,0.36,4.16,4.71,4.53,11,5
V33064AC54A000005,"GUIDO ROSSATTO, PA FR",73.466,191.273,3306,2018-01-14,1.87,0.92,2.1,3.61,19,-2
V31934AC54A000006,"DARIO CERESER, PA IT",119.7463,284.8891,3193,2018-01-16,0.04,0.18,3.17,1.7,12,-4
V34814AC54A000001,"ANDREA GIRARDI, TO IT",87.4808,78.901,3481,2018-01-21,2.42,3.88,1.16,2.45,24,8
V33064AC54A000005,"GUIDO ROSSATTO, PA FR",95.5232,325.8535,3306,2018-01-24,4.25,4.83,3.56,1.4,24,-5
V35704AC54A000003,"MARIANO FIORENTINO, MI IT",68.3923,193.7326,3570,2018-01-19,4.95,0.71,4.27,4.3,23,8
V31934AC54A000006,"DARIO CERESER, PA IT",244.3524,221.672,3193,2018-01-03,0.26,2.45,4.43,1.07,26,-2
V35704AC54A000003,"MARIANO FIORENTINO, MI IT",308.1162,12.174,3570,2018-01-08,2.45,1.79,0.55,4.55,22,2
V15074AC54A000002,"GIACINTO CAMPANALE, MO IT",170.2,173.1298,1507,2018-01-07,1.94,4.64,0.07,4.03,19,-1
